Severity,Bug Name,What Happens,How To Recreate UI,How To Recreate API,PO Ref
Critical,Grid Items Vanish After Edit,User edits a PO sees Record Updated Successfully refreshes — all grid items are gone. Data loss.,"Go to PO → Create PO with 2+ items → Three-dot menu → Edit → Change any field → Save → Refresh → Open same PO → Grid empty",PUT /procure_to_pay/purchase_order/{id}/ with any field change,N/A
Critical,500 Error Editing PO Without Discount/Interest,Editing a PO with Discount% and Interest% fields blank returns 500 IntegrityError. Nothing saves.,"Create PO leaving Discount% and Interest% blank → Edit → Change any field → Save → See 500 error page",PUT /procure_to_pay/purchase_order/{id}/ with additional_details containing null for discount_percent/interest_percent,N/A
Critical,Django Debug Mode Leaks Full Config (PRODUCTION),Passing invalid item_ref_id returns Django debug page (154KB) — leaks internal IPs DB creds Redis config all settings EVERYTHING,Not recreatable via UI (API only),POST with item_ref_id: 999999 → crashes with full traceback,N/A
Critical,Stored XSS In Remark Field,<script> tags stored in remark field — when any user views this PO the script executes in their browser. Can steal cookies session tokens or perform actions as victim.,Not recreatable via UI (API only),POST with remark: "<script>alert('XSS')</script>" → script stored verbatim,N/A
Critical,CORE Microservice Also Has DEBUG=True,GET /core returns 500 IndexError with 60KB Django debug page — same full config leak on a second microservice.,Not recreatable via UI (API only),GET https://rhythmerp.algorhythms.in/core → 500 debug page,N/A
High,Negative Tax Rate Accepted,POST with tax_rate: -10 creates PO where tax is negative. Total = 900 instead of 1100. Company loses 200 in tax per PO.,Not recreatable via UI (API only),POST with tax_rate: -10,831
High,API Creates PO With Zero Items,Sending POST with empty grid bypasses UI validation. PO created with 0 items and total = 0.,Not recreatable via UI (API only),POST with purchasing_order_items_details: [],N/A
High,Invalid Item Ref ID Causes 500 Crash,Passing non-numeric or non-existent item_ref_id crashes server with full debug traceback. DOS vector.,Not recreatable via UI (API only),POST with item_ref_id: "5 OR 1=1" or 999999 → 500,N/A
Medium,Delivery Date Before Transaction Date,Items can have expected_delivery_date set years before transaction_date. Delivery 6 years before purchase makes no sense.,Not recreatable via UI (API only),POST with expected_delivery_date: "2020-01-01" on a 2026 txn,832
Medium,Invalid FK IDs Accepted,parameter1=999999 (non-existent division) accepted and stored. Causes silent failures in downstream reports.,Not recreatable via UI (API only),POST with parameter1: 999999,833
Medium,Discount Amount Truncated,Discount amount is floored to 2 decimals instead of properly rounded. Small accounting errors per PO.,"Create PO with qty=7 rate=3 tax=10% discount=5% → View PO → Shows 1.15 instead of 1.155",POST with qty=7 rate=3 tax_rate=10 txn_currency_discount_percent=5,N/A
Medium,Schema Field Names Don't Match Response,Schema keys differ from API response keys — causes integration issues for consumers.,Not recreatable via UI (DevTools only),Compare schema definition vs actual response field names,N/A
Low,Required Fields Accept Empty Values,parameter2 and parameter4 marked is_required=true but can be omitted — stored as null.,Not recreatable via UI (API only),POST without parameter2 and parameter4,N/A
Low,Duplicate Items On Same PO Accepted,Same item_ref_id on two grid lines with no validation no merge no warning,Not recreatable via UI (API only),POST with two identical item_ref_ids on same PO,N/A
Low,50000-Character Remark Accepted,Remark field with 50K chars accepted and stored. UI likely crashes rendering it.,Not recreatable via UI (API only),POST with remark containing 50000 chars,834
Low,Wrong Error Message: Interest For Discount %,Sending negative discount% returns error saying Interest cannot be less than 0 — interest is wrong label is discount.,Not recreatable via UI (API only),POST with txn_currency_discount_percent: -10,N/A
